,reward,performance,loss,episode,reward_smooth,performance_smooth
431,-23.0,-23.0,7.0,431.0,-42.16,-47.76
432,-76.0,-86.0,9958.28434645669,432.0,-42.14,-47.84
433,-36.0,-46.0,0.0,433.0,-42.23,-47.98
434,-74.0,-79.0,0.0,434.0,-42.19,-47.89
435,-30.0,-40.0,6069.155990241336,435.0,-41.72,-47.52
436,-32.0,-42.0,0.0,436.0,-41.3,-47.2
437,-26.0,-36.0,0.0,437.0,-40.83,-46.78
438,-24.0,-34.0,1.0,438.0,-40.73,-46.78
439,-87.0,-87.0,0.0,439.0,-40.82,-46.87
440,-34.0,-49.0,7065.6603,440.0,-40.91,-47.06
441,-28.0,-38.0,0.0,441.0,-40.89,-47.14
442,-29.0,-39.0,4338.493836019999,442.0,-40.38,-46.68
443,-84.0,-84.0,0.0,443.0,-40.98,-47.18
444,-23.0,-23.0,10.0,444.0,-40.49,-46.69
445,-30.0,-40.0,21.0,445.0,-40.5,-46.7
446,-81.0,-81.0,0.0,446.0,-41.04,-47.19
447,-25.0,-35.0,0.0,447.0,-41.05,-47.3
448,-32.0,-42.0,1.0,448.0,-41.11,-47.46
449,-80.0,-80.0,0.0,449.0,-41.65,-48.0
450,-88.0,-98.0,0.0,450.0,-42.28,-48.68
451,-31.0,-31.0,10886.632313713202,451.0,-42.28,-48.68
452,-79.0,-84.0,0.0,452.0,-42.82,-49.17
453,-31.0,-41.0,0.0,453.0,-42.28,-48.68
454,-24.0,-34.0,0.0,454.0,-42.2,-48.6
455,-30.0,-30.0,6864.190623467791,455.0,-42.19,-48.49
456,-79.0,-89.0,1704.0831693414837,456.0,-42.69,-48.99
457,-32.0,-42.0,0.0,457.0,-42.68,-48.98
458,-17.0,-27.0,0.0,458.0,-42.0,-48.35
459,-26.0,-36.0,5.0,459.0,-41.92,-48.27
460,-29.0,-29.0,9.0,460.0,-41.94,-48.19
461,-80.0,-80.0,0.0,461.0,-42.46,-48.71
462,-24.0,-24.0,0.0,462.0,-41.89,-48.14
463,-29.0,-39.0,0.0,463.0,-41.88,-48.08
464,-33.0,-38.0,0.0,464.0,-41.97,-48.12
465,-31.0,-36.0,0.0,465.0,-41.46,-47.66
466,-88.0,-93.0,0.0,466.0,-42.04,-48.19
467,-84.0,-84.0,0.0,467.0,-42.63,-48.78
468,-18.0,-18.0,3.0,468.0,-42.59,-48.64
469,-80.0,-85.0,5265.844124712619,469.0,-43.14,-49.24
